Positivacao de Clientes										
										
Filtros										
Data inicial: 01/05/2025										
Data final: 01/06/2025										
Situações: Novos, Ativos, Inativos recentes, Inativos antigos										
										
										
Razão Social	Nome fantasia	CNPJ/CPF	Estado	Vendedor do último pedido	Último pedido	Data do último pedido	Data do penúltimo pedido	Diferença (em dias)	Tags de clientes	Situação
SJ INDUSTRIA DA PANIFICACAO LTDA	SJ INDUSTRIA DA PANIFICACAO LTDA	06.938.837/0001-62	PR	Julio Gadret	220	05/05/2025				Novo
BORGER & DOMINGUES LTDA	BORGER & DOMINGUES LTDA	53.454.684/0001-68	PR	Julio Gadret	240	02/05/2025				Novo
MAGOGA HORTIFRUTI LTDA	MAGOGA HORTIFRUTI LTDA	54.211.982/0001-90	SP	Helder Brunkow	397	29/05/2025	16/05/2025	13,00		Ativo
BESCO INDUSTRIAL DE ALIMENTOS LTDA	BESCO	14.133.092/0001-92	SC	Manu Ditzel	387	29/05/2025	15/05/2025	14,00		Ativo
ROTTA DO SOL HOTELARIA E TURISMO LTDA	SOLAR PORTO DE GALINHAS	08.895.369/0001-11	PE	Helder Brunkow	380	27/05/2025	30/04/2025	27,00		Ativo
NATURALIS PRODUTOS NATURAIS LTDA	NATURALIS PRODUTOS NATURAIS	31.545.180/0001-10	SC	Manu Ditzel	373	27/05/2025	25/04/2025	32,00		Ativo
48.097.578 SALAH UD DIN ALE CHARKIE	48.097.578 SALAH UD DIN ALE CHARKIE	48.097.578/0001-34	PR	Manu Ditzel	370	27/05/2025	25/04/2025	32,00		Ativo
BEVILACQUA CEREAIS LTDA	BEVILACQUA CEREAIS	42.535.786/0001-91	MG	Helder Brunkow	371	26/05/2025	08/04/2025	48,00		Ativo
SEVERO SILVA COMERCIO DE PRODUTOS NATURAIS LTDA	BIO MUNDO	33.950.384/0001-62	PE	Helder Brunkow	347	21/05/2025	10/04/2025	41,00	BIO MUNDO	Ativo
SHOPPER COMERCIO ALIMENTICIO LTDA	SHOPPER COMERCIO ALIMENTICIO LTDA	24.583.557/0003-22	SP	Helder Brunkow	343	20/05/2025	07/05/2025	13,00	Shopper	Ativo
57.480.928 WESLLEY APARECIDO COSTA DA SILVA	57.480.928 WESLLEY APARECIDO COSTA DA SILVA	57.480.928/0001-38	SP	Lorrany	328	20/05/2025	15/05/2025	5,00		Ativo
ESMERALDA CONVENIENCIAS LTDA	ESMERALDA CARAGUATA	06.905.607/0003-69	PR	Central - Daiane	335	19/05/2025	29/04/2025	20,00		Ativo
+VERDE PRODUTOS NATURAIS E SUPLEMENTOS LTDA	+VERDE	58.249.963/0001-03	SP	Helder Brunkow	285	13/05/2025	03/04/2025	40,00		Ativo
AUTO POSTO E MECANICA BARAO LTDA	REDE BARÃO REDENTORA SJP	75.176.859/0003-17	PR	Julio Gadret	299	12/05/2025	29/04/2025	13,00		Ativo
COOPERATIVA CENTRAL DE CREDITO, POUPANCA E INVESTIMENTO DOS ESTADOS DO PARANA, SAO PAULO E RIO DE JA	CENTRAL SICREDI PR/SP/RJ	80.230.774/0001-48	PR	Helder Brunkow	291	09/05/2025	04/04/2025	35,00		Ativo
56.237.854 SAMUELL CARVALHO LUCIANO	56.237.854 SAMUELL CARVALHO LUCIANO	56.237.854/0001-40	SC	Manu Ditzel	246	02/05/2025	19/03/2025	44,00		Ativo
DS COMERCIAL LTDA	MUNDO VERDE	58.429.130/0001-24	MS	Helder Brunkow	341	20/05/2025	02/03/2025	79,00		Inativo recente
										
